Date,USALOLITONOSTSAM
1960-01-01,100.694369270216
1960-02-01,100.422098204911
1960-03-01,100.120663740607
1960-04-01,99.8357397317998
1960-05-01,99.5867622194685
1960-06-01,99.3691693497608
1960-07-01,99.164471338647
1960-08-01,98.9704797765097
1960-09-01,98.778650531084
1960-10-01,98.6141921670647
1960-11-01,98.5064678398949
1960-12-01,98.4869474718847
1961-01-01,98.5724822087222
1961-02-01,98.781138330365
1961-03-01,99.1006396923628
1961-04-01,99.4848180342705
1961-05-01,99.8767779805878
1961-06-01,100.241452223466
1961-07-01,100.555389707639
1961-08-01,100.811915443859
1961-09-01,100.998913482485
1961-10-01,101.11429398075
1961-11-01,101.163437124873
1961-12-01,101.134756445934
1962-01-01,101.021538853623
1962-02-01,100.840268939155
1962-03-01,100.593182974162
1962-04-01,100.303301177462
1962-05-01,100.0105524784
1962-06-01,99.7556282953637
1962-07-01,99.5798093024647
1962-08-01,99.4909480390208
1962-09-01,99.4871543477103
1962-10-01,99.5560423057312
1962-11-01,99.6814176486597
1962-12-01,99.832587641608
1963-01-01,99.9820731176536
1963-02-01,100.111758340428
1963-03-01,100.214062097506
1963-04-01,100.285537167789
1963-05-01,100.312569828675
1963-06-01,100.294972104989
1963-07-01,100.25201284084
1963-08-01,100.207582981696
1963-09-01,100.18318674662
1963-10-01,100.175076414951
1963-11-01,100.178836977747
1963-12-01,100.206650983462
1964-01-01,100.268853425497
1964-02-01,100.345284157463
1964-03-01,100.429954555556
1964-04-01,100.513831529451
1964-05-01,100.590562040768
1964-06-01,100.659433863719
1964-07-01,100.716732904094
1964-08-01,100.754963735992
1964-09-01,100.793035007506
1964-10-01,100.836216615224
1964-11-01,100.899293129213
1964-12-01,100.974629007592
1965-01-01,101.041251617184
1965-02-01,101.080799272462
1965-03-01,101.082178331016
1965-04-01,101.042338085534
1965-05-01,100.977995819154
1965-06-01,100.918374800433
1965-07-01,100.896981022135
1965-08-01,100.931404845931
1965-09-01,101.027712866582
1965-10-01,101.175498536468
1965-11-01,101.350741883855
1965-12-01,101.518728821834
1966-01-01,101.637818326288
1966-02-01,101.666366847155
1966-03-01,101.581567498843
1966-04-01,101.385791967611
1966-05-01,101.101449636382
1966-06-01,100.783276381102
1966-07-01,100.457755350863
1966-08-01,100.142461306623
1966-09-01,99.8415400398843
1966-10-01,99.5500905454005
1966-11-01,99.2797468239203
1966-12-01,99.0488492797849
1967-01-01,98.8796590354887
1967-02-01,98.7881901005593
1967-03-01,98.8018901363878
1967-04-01,98.9242904226063
1967-05-01,99.1433435411444
1967-06-01,99.4172838456975
1967-07-01,99.7109710914245
1967-08-01,99.9941743705325
1967-09-01,100.238146945365
1967-10-01,100.432245581335
1967-11-01,100.572597033864
1967-12-01,100.660494305611
1968-01-01,100.692828823753
1968-02-01,100.696804832849
1968-03-01,100.690724399411
1968-04-01,100.684860316758
1968-05-01,100.686088984526
1968-06-01,100.70724404347
1968-07-01,100.760749603324
1968-08-01,100.857135239641
